id,location_id,first_name,last_name,status,created_at
81388126-24c1-44d4-9450-9c9b93c099bf,b3d2a4cd-41c7-4570-806a-5897d52a742f,CrossT,Target,active,2026-04-20T02:24:03.531727+00:00
233f7eab-5e38-4dc3-9ee2-07f72c38c7aa,b3d2a4cd-41c7-4570-806a-5897d52a742f,AuditTest,Tenant-test,active,2026-04-20T02:22:47.240039+00:00
b7f20bdc-2704-42db-ab09-ed4a63f7e7cc,b3d2a4cd-41c7-4570-806a-5897d52a742f,ApptTest,Tenant-test,active,2026-04-20T02:22:45.448855+00:00
90efcbe0-4bcc-49e8-bfdd-009c067496d7,af409ad4-e373-450b-bba1-a011f6c94fc3,Agg-Eas,Tenant-test,active,2026-04-20T02:22:42.754370+00:00
5e58f6a3-046d-459e-903f-7be3cd2e9a07,faba0972-6036-46b5-91dc-2a011fae289b,Agg-Upt,Tenant-test,active,2026-04-20T02:22:42.700727+00:00
75360d5d-55f4-4ed3-af50-eb872ab7c4f3,b3d2a4cd-41c7-4570-806a-5897d52a742f,Agg-Dow,Tenant-test,active,2026-04-20T02:22:42.646651+00:00
7e7b0080-7a01-463b-ad70-eb972386b126,af409ad4-e373-450b-bba1-a011f6c94fc3,FlEs,Tenant-test,active,2026-04-20T02:22:40.834699+00:00
e236b080-2703-4613-9606-7aea9dc97319,faba0972-6036-46b5-91dc-2a011fae289b,FlUp,Tenant-test,active,2026-04-20T02:22:40.776512+00:00
60b9c50e-8ece-40bf-94da-c81a40a2474f,b3d2a4cd-41c7-4570-806a-5897d52a742f,FlDt,Tenant-test,active,2026-04-20T02:22:40.715362+00:00
b1449356-102e-421c-bf9a-c5666225dc47,faba0972-6036-46b5-91dc-2a011fae289b,Up1,Tenant-test,active,2026-04-20T02:22:39.774091+00:00
600fa322-b01b-4827-83ab-b2b65a747e21,b3d2a4cd-41c7-4570-806a-5897d52a742f,GroupOnly,Tenant-test,active,2026-04-20T02:22:37.952932+00:00
b34fa0e5-f1a7-48c5-a2ff-66ae0faf7cf9,b3d2a4cd-41c7-4570-806a-5897d52a742f,CrossT,Target,active,2026-04-20T02:20:05.596968+00:00
f82e95aa-acb0-43cc-9a95-ae2b7da58d39,b3d2a4cd-41c7-4570-806a-5897d52a742f,Avery,Bennett,active,2026-04-20T02:19:04.345633+00:00
f4bc6af6-f44c-4b67-b36e-ea73cf3d3374,b3d2a4cd-41c7-4570-806a-5897d52a742f,Sam,Calder,active,2026-04-20T02:19:04.345633+00:00
4b8926ec-9231-4a0b-a185-b87b5ac5743d,faba0972-6036-46b5-91dc-2a011fae289b,Drew,Patel,active,2026-04-20T02:19:04.345633+00:00
7a7e94ef-c939-4e13-9817-dd6353753048,faba0972-6036-46b5-91dc-2a011fae289b,Quinn,Vasquez,active,2026-04-20T02:19:04.345633+00:00
e53fe707-de8e-4229-b4fb-fe976a3ae9c6,af409ad4-e373-450b-bba1-a011f6c94fc3,Robin,Harper,active,2026-04-20T02:19:04.345633+00:00
385a212a-f362-42bc-a082-e37d8799f6cc,af409ad4-e373-450b-bba1-a011f6c94fc3,Jordan,Okafor,active,2026-04-20T02:19:04.345633+00:00
834736ea-ed72-4e34-98ab-5a1f785d81ce,b3d2a4cd-41c7-4570-806a-5897d52a742f,AuditTest,Tenant-test,active,2026-04-20T02:12:32.949514+00:00
547e5b8d-1c6e-4c91-a9b4-7ed674d5d50d,b3d2a4cd-41c7-4570-806a-5897d52a742f,ApptTest,Tenant-test,active,2026-04-20T02:12:31.132645+00:00
8cb01ecb-3545-46a7-8355-b65326c20c12,af409ad4-e373-450b-bba1-a011f6c94fc3,Agg-Eas,Tenant-test,active,2026-04-20T02:12:28.429311+00:00
0b1e8938-37e9-4229-810b-ab38c849b64a,faba0972-6036-46b5-91dc-2a011fae289b,Agg-Upt,Tenant-test,active,2026-04-20T02:12:28.372864+00:00
63be5c18-58b5-4f8b-afdf-8560ac380091,b3d2a4cd-41c7-4570-806a-5897d52a742f,Agg-Dow,Tenant-test,active,2026-04-20T02:12:28.316857+00:00
10a0c7cd-563a-4ea2-ab80-50f0cbc0297b,af409ad4-e373-450b-bba1-a011f6c94fc3,FlEs,Tenant-test,active,2026-04-20T02:12:26.628598+00:00
d51d7b72-8b56-4752-835e-817d264f401f,faba0972-6036-46b5-91dc-2a011fae289b,FlUp,Tenant-test,active,2026-04-20T02:12:26.568399+00:00
19db12f1-bf80-4aea-ae62-44077f689010,b3d2a4cd-41c7-4570-806a-5897d52a742f,FlDt,Tenant-test,active,2026-04-20T02:12:26.508707+00:00
53fd0109-d82b-42a5-adce-b1091ac8bac9,faba0972-6036-46b5-91dc-2a011fae289b,Up1,Tenant-test,active,2026-04-20T02:12:25.590514+00:00
25513b6e-23d2-428f-b25c-237d11b5dc34,b3d2a4cd-41c7-4570-806a-5897d52a742f,GroupOnly,Tenant-test,active,2026-04-20T02:12:23.710997+00:00
efc4d081-fd76-4dcf-b45c-00d5f3479f12,b3d2a4cd-41c7-4570-806a-5897d52a742f,AuditTest,Tenant-test,active,2026-04-20T02:11:01.837739+00:00
1f490d8a-b7c5-406a-b412-5a128c415183,b3d2a4cd-41c7-4570-806a-5897d52a742f,ApptTest,Tenant-test,active,2026-04-20T02:11:01.196642+00:00
6c6ef308-052c-4fdd-a5b9-55175480421a,af409ad4-e373-450b-bba1-a011f6c94fc3,Agg-Eas,Tenant-test,active,2026-04-20T02:10:58.517013+00:00
e289f147-20a4-4af0-92f4-b8bc6b70656f,faba0972-6036-46b5-91dc-2a011fae289b,Agg-Upt,Tenant-test,active,2026-04-20T02:10:58.460330+00:00
